Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-NOV-2016,4006.05,4049.75,3950.35,3955.6,132438407,2838.41
04-NOV-2016,3963,3970.1,3853,3889.6,167672055,3004.06
07-NOV-2016,3935.2,3961.9,3923.95,3931.75,95300220,1903.12
08-NOV-2016,3954.5,3958.6,3915.05,3946.85,106596077,2027.28
09-NOV-2016,3661,3874.45,3579.7,3855.3,270150519,4380.38
10-NOV-2016,3922.95,4001.7,3921.35,3960.25,186390058,3167.89
11-NOV-2016,3916.15,3939.6,3777.9,3790.55,178082281,3370.71
15-NOV-2016,3796.2,3796.2,3610.1,3643.4,203543683,3472.52
16-NOV-2016,3697.3,3718.8,3607.5,3647.75,155573519,2765.52
17-NOV-2016,3653.4,3684.65,3622.65,3641.4,128661808,2512.41
18-NOV-2016,3663.65,3670.6,3623.85,3650.25,139872011,2729.46
21-NOV-2016,3669.95,3670.7,3513.4,3522.25,159096520,2893.83
22-NOV-2016,3554.7,3584.2,3517.9,3571.25,135400566,2296.59
23-NOV-2016,3600.85,3611,3560.4,3604.6,131267931,2548.93
24-NOV-2016,3584.7,3590.3,3548.3,3565.6,174509610,2957.07
25-NOV-2016,3587.75,3643.65,3572.6,3639.05,131039881,2185.42
28-NOV-2016,3630.85,3684.95,3621.8,3660.85,140422391,2023.45
29-NOV-2016,3675.1,3707.7,3671.6,3689.45,127860476,2053.95
30-NOV-2016,3708.8,3753.55,3704.1,3750.1,371331382,4076.51
01-DEC-2016,3767.05,3770.85,3694.7,3699.45,131529639,2311.14
02-DEC-2016,3674.1,3682.85,3624.4,3634.5,131016654,2162.93
05-DEC-2016,3636.35,3674.45,3624.7,3666.35,116913874,2236.41
06-DEC-2016,3689.85,3711.7,3682.6,3691.5,113262268,2065.3
07-DEC-2016,3710.45,3716,3644.95,3675,148021868,1921.86
08-DEC-2016,3706.8,3746.8,3704.75,3743.1,100912282,1868.9
09-DEC-2016,3766,3789.05,3747.2,3784.45,118018393,2333.43
12-DEC-2016,3780.7,3782.7,3707.45,3723,85006535,1667.77
13-DEC-2016,3730.35,3735.85,3700.4,3726.25,85424686,1724.59
14-DEC-2016,3731.9,3739.9,3698.4,3703.5,86376323,1898.78
15-DEC-2016,3670.6,3744.9,3666.35,3724.6,115579711,2098.1
16-DEC-2016,3735.3,3738.9,3700.55,3708.55,85185015,2034.11
19-DEC-2016,3712.85,3724.35,3697.05,3706.95,84709666,1720.85
20-DEC-2016,3712.25,3717.05,3634.65,3644.8,98540086,1891.43
21-DEC-2016,3661,3669.35,3634.8,3649.2,127667818,1779.13
22-DEC-2016,3636.9,3640.3,3588.45,3600.55,109121346,1794.44
23-DEC-2016,3600.5,3624.15,3561.65,3599.4,111432332,1843.84
26-DEC-2016,3590.45,3590.5,3492.75,3496.6,100622536,1742.25
27-DEC-2016,3498.6,3568.65,3471.25,3564.45,111859913,1953.81
28-DEC-2016,3574.2,3615.95,3566.05,3576.3,111768007,2037.13
29-DEC-2016,3582.25,3648.05,3572.9,3642.1,242590561,3317.95
30-DEC-2016,3646.45,3681.95,3642.7,3662.3,128645676,2106.91
